id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
329839,"So Clover!",2021,319,7.16474,7.57922,8807,0,,,,,7,,,
270633,"Aeon's End: The New Age",2019,320,7.16462,8.51037,2873,0,,,,,,155,,
295374,"Long Shot: The Dice Game",2022,321,7.16028,7.6107,8382,0,,,,60,,,,
176734,"The Manhattan Project: Energy Empire",2016,322,7.15587,7.74101,6259,0,,,,,,200,,
24181,Imperial,2006,323,7.15435,7.59686,8846,0,,,,,,214,,
356123,"Turing Machine",2022,324,7.15181,7.67735,7603,0,,,,,,228,,
19777,Indonesia,2005,325,7.15121,7.87801,4771,0,,,,,,175,,
66589,Navegador,2010,326,7.151,7.53721,9363,0,,,,,,220,,
46213,Telestrations,2009,327,7.14999,7.37768,18788,0,,,,,18,,,
160477,Onitama,2014,328,7.14875,7.34727,22872,0,18,,,,,,,
257499,"Arkham Horror (Third Edition)",2018,329,7.14752,7.69253,9699,0,,,,,,,69,
97207,"Dungeon Petz",2011,330,7.14362,7.39616,15096,0,,,,,,243,83,
295895,Distilled,2023,331,7.14224,7.82254,5833,0,,,,,,211,,
50,"Lost Cities",1999,332,7.14112,7.2452,47492,0,,,,82,,,,
284189,"Foundations of Rome",2022,333,7.13856,8.05108,4189,0,,,,,,197,,
155873,"Power Grid Deluxe: Europe/North America",2014,334,7.13821,7.94853,4485,0,,,,,,188,,
367220,"Sea Salt & Paper",2022,335,7.13805,7.48975,12053,0,,,,68,,,,
38453,"Space Alert",2008,336,7.13639,7.38935,16191,0,,,,,,,95,
277085,"Love Letter",2019,337,7.13592,7.51974,11143,0,,,,72,16,,,
172,"For Sale",1997,338,7.13502,7.25989,31766,0,,,,80,,,,
22545,"Age of Empires III: The Age of Discovery",2007,339,7.13477,7.5086,10349,0,,,,,,236,,
318184,"Imperium: Classics",2021,340,7.13245,7.69844,7171,0,,,,,,226,,
245655,"The King's Dilemma",2019,341,7.13207,7.74714,6240,0,,,,,,,57,
345972,"Cat in the Box: Deluxe Edition",2022,342,7.13072,7.52763,9230,0,,,,66,,,,
262211,Cloudspire,2019,343,7.13007,8.18508,3820,0,,,,,,189,,
111341,"The Great Zimbabwe",2012,344,7.12875,7.8382,4956,0,,,,,,193,,
154203,"Imperial Settlers",2014,345,7.12864,7.31264,24609,0,,,,,,270,,
319966,"The King Is Dead: Second Edition",2020,346,7.12861,7.6348,7321,0,,,,,,227,,71
2653,"Survive: Escape from Atlantis!",1982,347,7.12692,7.31635,26486,0,,,,83,,,,
5,Acquire,1963,348,7.12561,7.34675,20818,0,,,,,,267,,
129622,"Love Letter",2012,349,7.1248,7.22492,68664,0,,,,96,,,,
143693,"Glass Road",2013,350,7.12473,7.42463,11979,0,,,,,,241,,
187617,"Nemo's War (Second Edition)",2017,351,7.12448,7.82319,5446,0,,,,,,,51,
181279,"Fury of Dracula (Third/Fourth Edition)",2015,352,7.12375,7.41915,14837,0,,,,,,,92,
54,Tikal,1999,353,7.12178,7.32474,20571,0,,,,,,260,,
400314,Apiary,2023,354,7.12165,7.82188,5519,0,,,,,,222,,
93260,"Summoner Wars: Master Set",2011,355,7.1209,7.48074,11038,0,,21,,,,255,,
184921,"Bunny Kingdom",2017,356,7.11935,7.4242,13410,0,,,,73,,254,,
209685,"Century: Spice Road",2017,357,7.11915,7.30056,25968,0,,,,85,,,,
331106,"The Witcher: Old World",2023,358,7.11875,7.96413,6513,0,,,,,,,77,
136888,Bruges,2013,359,7.11804,7.42705,11846,0,,,,,,242,,
54138,"Imperial 2030",2009,360,7.1176,7.64614,6955,0,,,,,,224,,
285192,Destinies,2021,361,7.11671,7.71069,8848,0,,,,,,,74,
188866,"Awkward Guests: The Walton Case",2016,362,7.11565,7.57216,8579,0,,,,67,,,,
227789,"Heaven & Ale",2017,363,7.11381,7.53476,8700,0,,,,,,239,,
332800,"Summoner Wars (Second Edition)",2021,364,7.11373,8.11312,3939,0,,5,,,,208,,
163967,"Tiny Epic Galaxies",2015,365,7.11273,7.33028,20997,0,,,,,,292,,
48726,"Alien Frontiers",2010,366,7.11033,7.35392,15338,0,,,,,,258,,
59294,Runewars,2010,367,7.10925,7.6073,8429,0,,,,,,246,72,
234277,Nusfjord,2017,368,7.10785,7.64541,6591,0,,,,,,232,,
47,Chinatown,1999,369,7.10715,7.43155,11640,0,,,,78,,252,,
203420,"Exit: The Game – The Abandoned Cabin",2016,370,7.10577,7.42095,11606,0,,,,,,,78,
350316,"Wayfarers of the South Tigris",2022,371,7.1025,7.81318,5115,0,,,,,,221,,
260180,"Project L",2020,372,7.10201,7.48264,10368,0,12,,,75,,,,
40692,"Small World",2009,373,7.10137,7.20448,72109,0,,,,101,,322,,
172081,"Burgle Bros.",2015,374,7.10061,7.42899,11737,0,,,,81,,,101,
172818,"Above and Below",2015,375,7.09769,7.36042,16357,0,,,,,,,117,
25292,"Merchants & Marauders",2010,376,7.09655,7.39533,14363,0,,,,,,,104,
301880,"Raiders of Scythia",2020,377,7.09614,7.73774,5887,0,,,,,,238,,
140934,Arboretum,2015,378,7.09584,7.28255,21369,0,,,,90,,,,
336986,Flamecraft,2022,379,7.0958,7.41888,15601,0,,,,92,,320,,
193037,"Dead of Winter: The Long Night",2016,380,7.09573,7.52291,10085,0,,,,,,,86,
63888,Innovation,2010,381,7.09439,7.30247,18881,0,,,,,,280,,
21241,"Neuroshima Hex! 3.0",2006,382,7.09432,7.3898,15223,0,,,,,,288,,
304420,Bonfire,2020,383,7.09426,7.63693,6773,0,,,,,,240,,
13122,Antiquity,2004,384,7.09256,7.84183,4528,0,,,,,,209,,
176920,"Mission: Red Planet (Second/Third Edition)",2015,385,7.08888,7.40251,11697,0,,,,,,269,,
219513,Bärenpark,2017,386,7.08873,7.2911,19432,0,,,,89,,,,
77130,"Sid Meier's Civilization: The Board Game",2010,387,7.08817,7.37627,16022,0,,,,,,283,,
297030,"Tekhenu: Obelisk of the Sun",2020,388,7.08662,7.69628,5981,0,,,,,,234,,
318084,Furnace,2020,389,7.08616,7.41036,11381,0,,,,,,262,,
59959,"Letters from Whitechapel",2011,390,7.08479,7.34358,16305,0,,,,,,297,118,
45315,"Dungeon Lords",2009,391,7.08429,7.35327,14025,0,,,,,,275,,
39856,Dixit,2008,392,7.08404,7.19652,66029,0,,,,,26,,,
202426,"Sidereal Confluence",2017,393,7.08384,7.78064,5263,0,,,,,,230,,
246192,Gizmos,2018,394,7.08332,7.376,13232,0,,,,84,,,,
146439,"BattleLore: Second Edition",2013,395,7.08131,7.67986,6436,0,,,,,,,,61
345584,"Mindbug: First Contact",2022,396,7.0792,7.67111,6813,0,,,,74,,259,,
199042,"Harry Potter: Hogwarts Battle",2016,397,7.07594,7.3619,19885,0,,,,102,,,135,
70919,Takenoko,2011,398,7.07537,7.2103,45452,0,,,,105,,,,
128271,Ginkgopolis,2012,399,7.07415,7.49301,8200,0,,,,,,247,,
336382,"Marvel United: X-Men",2021,400,7.07407,8.04589,3849,0,,,,64,,,,
181304,Mysterium,2015,401,7.06998,7.20971,45189,0,,,,112,,,134,
37046,"Ghost Stories",2008,402,7.06847,7.26557,21443,0,,,,,,316,,
370591,"Dorfromantik: The Board Game",2022,403,7.06734,7.64208,6716,0,,,,77,,,,
308119,"Pax Renaissance: 2nd Edition",2021,404,7.06702,8.47919,2543,0,,,,,,182,,
41114,"The Resistance",2009,405,7.06621,7.20827,41266,0,,,,,34,,,
222509,"Lords of Hellas",2018,406,7.06607,7.64788,7411,0,,,,,,264,,
119890,"Agricola: All Creatures Big and Small",2012,407,7.06537,7.33137,13876,0,,,,,,296,,
8217,"San Juan",2004,408,7.06441,7.23198,23939,0,,,,,,312,,
192458,"51st State: Master Set",2016,409,7.06275,7.58865,7046,0,,,,,,250,,
90137,"Blood Bowl: Team Manager – The Card Game",2011,410,7.0626,7.39658,11524,0,,,,,,,100,
155987,Abyss,2014,411,7.06253,7.32596,15327,0,,,,,,302,,
40354,Maria,2009,412,7.06231,7.98686,3722,0,,,,,,,,13
163745,"Star Wars: Armada",2015,413,7.06213,7.81879,5526,0,,,,,,,66,53
245934,"Carpe Diem",2018,414,7.06103,7.50822,7967,0,,,,,,257,,
234,"Hannibal: Rome vs. Carthage",1996,415,7.06051,7.78167,5034,0,,,,,,,,23
247367,"Air, Land & Sea",2019,416,7.0598,7.46526,8797,0,,,,,,281,,
276182,"Dead Reckoning",2022,417,7.05751,8.18223,3228,0,,,,,,216,,
234487,Altiplano,2017,418,7.0569,7.45685,9233,0,,,,,,272,,
372,"Schotten Totten",1999,419,7.05594,7.35599,12103,0,,,,91,,,,
274638,"Unmatched: Robin Hood vs. Bigfoot",2019,420,7.05576,7.92016,4370,0,,,,,,249,,
244711,Newton,2018,421,7.05305,7.5269,7351,0,,,,,,256,,
